id,title,description,availability,availability_date,expiration_date,link,mobile_link,image_link,price,sale_price,sale_price_effective_date,identifier_exists,gtin,mpn,brand,product_highlight,product_detail,additional_image_link,condition,adult,color,size,size_type,size_system,gender,material,pattern,age_group,multipack,is bundle,unit_pricing_measure,unit_pricing_base_measure,energy_efficiency_class,min_energy_efficiency_class,max_energy_efficiency,item_group_id,video_link,virtual_model_link,cost_of_goods_sold
260100300303,Cuttens Lava Acid Wash Half Sleeve T-Shirt Black M,"Make a bold statement with the Antariya Cuttens Lava Acid Wash Half Sleeve T-Shirt. Designed for those who appreciate unique streetwear aesthetics, this premium tee features a distinctive acid wash f…",in_stock,,,https://antariyaofficial.com/product/6a4fc00205c5fa842c1a6d5b,,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/sotw3ou9numn7wgrhrbx.jpg,1299.00 INR,,,no,,,Antariya,,,"https://res.cloudinary.com/doefhzx01/image/upload/v1786033377/antariya/products/6a15f3ab52b87a00a922c0d9/zvqrefaaa2mqdntmcdhl.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/xongky9mx1vgtky3pa3l.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/tcqozolcf32nnzyi4xnb.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/ic4kowvodtidfjijppxc.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/tv84wdn7wfheob0iv2z2.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/ncpdksg8azvbn0sttk5s.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786272288/antariya/products/6a15f3ab52b87a00a922c0d9/taca47wnodxx9s82u6vt.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786033377/antariya/products/6a15f3ab52b87a00a922c0d9/zvqrefaaa2mqdntmcdhl.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/xongky9mx1vgtky3pa3l.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/tcqozolcf32nnzyi4xnb.jpg",new,no,Black,M,,IN,Unisex,,Acid Wash,adult,,,,,,,,6a4fc00205c5fa842c1a6d5b,,,
260100300503,Cuttens Lava Acid Wash Half Sleeve T-Shirt Wine-Pink M,"Make a bold statement with the Antariya Cuttens Lava Acid Wash Half Sleeve T-Shirt. Designed for those who appreciate unique streetwear aesthetics, this premium tee features a distinctive acid wash f…",in_stock,,,https://antariyaofficial.com/product/6a4fc00205c5fa842c1a6d5b,,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/sotw3ou9numn7wgrhrbx.jpg,1299.00 INR,,,no,,,Antariya,,,"https://res.cloudinary.com/doefhzx01/image/upload/v1786033377/antariya/products/6a15f3ab52b87a00a922c0d9/zvqrefaaa2mqdntmcdhl.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/xongky9mx1vgtky3pa3l.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/tcqozolcf32nnzyi4xnb.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/ic4kowvodtidfjijppxc.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/tv84wdn7wfheob0iv2z2.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/ncpdksg8azvbn0sttk5s.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786272288/antariya/products/6a15f3ab52b87a00a922c0d9/taca47wnodxx9s82u6vt.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786033377/antariya/products/6a15f3ab52b87a00a922c0d9/zvqrefaaa2mqdntmcdhl.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/xongky9mx1vgtky3pa3l.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/tcqozolcf32nnzyi4xnb.jpg",new,no,Wine-Pink,M,,IN,Unisex,,Acid Wash,adult,,,,,,,,6a4fc00205c5fa842c1a6d5b,,,
260100300305,Cuttens Lava Acid Wash Half Sleeve T-Shirt Black XL,"Make a bold statement with the Antariya Cuttens Lava Acid Wash Half Sleeve T-Shirt. Designed for those who appreciate unique streetwear aesthetics, this premium tee features a distinctive acid wash f…",in_stock,,,https://antariyaofficial.com/product/6a4fc00205c5fa842c1a6d5b,,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/sotw3ou9numn7wgrhrbx.jpg,1299.00 INR,,,no,,,Antariya,,,"https://res.cloudinary.com/doefhzx01/image/upload/v1786033377/antariya/products/6a15f3ab52b87a00a922c0d9/zvqrefaaa2mqdntmcdhl.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/xongky9mx1vgtky3pa3l.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/tcqozolcf32nnzyi4xnb.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/ic4kowvodtidfjijppxc.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/tv84wdn7wfheob0iv2z2.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/ncpdksg8azvbn0sttk5s.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786272288/antariya/products/6a15f3ab52b87a00a922c0d9/taca47wnodxx9s82u6vt.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786033377/antariya/products/6a15f3ab52b87a00a922c0d9/zvqrefaaa2mqdntmcdhl.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/xongky9mx1vgtky3pa3l.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/tcqozolcf32nnzyi4xnb.jpg",new,no,Black,XL,,IN,Unisex,,Acid Wash,adult,,,,,,,,6a4fc00205c5fa842c1a6d5b,,,
260100300505,Cuttens Lava Acid Wash Half Sleeve T-Shirt Wine-Pink XL,"Make a bold statement with the Antariya Cuttens Lava Acid Wash Half Sleeve T-Shirt. Designed for those who appreciate unique streetwear aesthetics, this premium tee features a distinctive acid wash f…",out_of_stock,,,https://antariyaofficial.com/product/6a4fc00205c5fa842c1a6d5b,,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/sotw3ou9numn7wgrhrbx.jpg,1299.00 INR,,,no,,,Antariya,,,"https://res.cloudinary.com/doefhzx01/image/upload/v1786033377/antariya/products/6a15f3ab52b87a00a922c0d9/zvqrefaaa2mqdntmcdhl.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/xongky9mx1vgtky3pa3l.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/tcqozolcf32nnzyi4xnb.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/ic4kowvodtidfjijppxc.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/tv84wdn7wfheob0iv2z2.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/ncpdksg8azvbn0sttk5s.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786272288/antariya/products/6a15f3ab52b87a00a922c0d9/taca47wnodxx9s82u6vt.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786033377/antariya/products/6a15f3ab52b87a00a922c0d9/zvqrefaaa2mqdntmcdhl.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/xongky9mx1vgtky3pa3l.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/tcqozolcf32nnzyi4xnb.jpg",new,no,Wine-Pink,XL,,IN,Unisex,,Acid Wash,adult,,,,,,,,6a4fc00205c5fa842c1a6d5b,,,
260100300304,Cuttens Lava Acid Wash Half Sleeve T-Shirt Black L,"Make a bold statement with the Antariya Cuttens Lava Acid Wash Half Sleeve T-Shirt. Designed for those who appreciate unique streetwear aesthetics, this premium tee features a distinctive acid wash f…",in_stock,,,https://antariyaofficial.com/product/6a4fc00205c5fa842c1a6d5b,,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/sotw3ou9numn7wgrhrbx.jpg,1299.00 INR,,,no,,,Antariya,,,"https://res.cloudinary.com/doefhzx01/image/upload/v1786033377/antariya/products/6a15f3ab52b87a00a922c0d9/zvqrefaaa2mqdntmcdhl.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/xongky9mx1vgtky3pa3l.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/tcqozolcf32nnzyi4xnb.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/ic4kowvodtidfjijppxc.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/tv84wdn7wfheob0iv2z2.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/ncpdksg8azvbn0sttk5s.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786272288/antariya/products/6a15f3ab52b87a00a922c0d9/taca47wnodxx9s82u6vt.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786033377/antariya/products/6a15f3ab52b87a00a922c0d9/zvqrefaaa2mqdntmcdhl.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/xongky9mx1vgtky3pa3l.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/tcqozolcf32nnzyi4xnb.jpg",new,no,Black,L,,IN,Unisex,,Acid Wash,adult,,,,,,,,6a4fc00205c5fa842c1a6d5b,,,
260100300504,Cuttens Lava Acid Wash Half Sleeve T-Shirt Wine-Pink L,"Make a bold statement with the Antariya Cuttens Lava Acid Wash Half Sleeve T-Shirt. Designed for those who appreciate unique streetwear aesthetics, this premium tee features a distinctive acid wash f…",in_stock,,,https://antariyaofficial.com/product/6a4fc00205c5fa842c1a6d5b,,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/sotw3ou9numn7wgrhrbx.jpg,1299.00 INR,,,no,,,Antariya,,,"https://res.cloudinary.com/doefhzx01/image/upload/v1786033377/antariya/products/6a15f3ab52b87a00a922c0d9/zvqrefaaa2mqdntmcdhl.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/xongky9mx1vgtky3pa3l.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/tcqozolcf32nnzyi4xnb.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/ic4kowvodtidfjijppxc.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/tv84wdn7wfheob0iv2z2.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/ncpdksg8azvbn0sttk5s.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786272288/antariya/products/6a15f3ab52b87a00a922c0d9/taca47wnodxx9s82u6vt.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786033377/antariya/products/6a15f3ab52b87a00a922c0d9/zvqrefaaa2mqdntmcdhl.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/xongky9mx1vgtky3pa3l.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786033376/antariya/products/6a15f3ab52b87a00a922c0d9/tcqozolcf32nnzyi4xnb.jpg",new,no,Wine-Pink,L,,IN,Unisex,,Acid Wash,adult,,,,,,,,6a4fc00205c5fa842c1a6d5b,,,
260100200302,Dodge Charger Half Sleeve T-Shirt – Black Black S,"Unleash classic American muscle with the Antariya Dodge Charger Half Sleeve T-Shirt. Crafted from 100% premium cotton, this tee delivers exceptional comfort, breathability, and durability for everyda…",in_stock,,,https://antariyaofficial.com/product/6a50112e4c2d17b7419b61af,,https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/i5zr0iatj9iw9akct7g6.jpg,999.00 INR,,,no,,,Antariya,,,"https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/yo6hz4sqreiaawejfon1.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/bozravtpzfwzxcjch2g1.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/nosozwjnqrvgxszcscge.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786272305/antariya/products/6a15f3ab52b87a00a922c0d9/hvsblfcfxnjwmphuoisi.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/yo6hz4sqreiaawejfon1.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/bozravtpzfwzxcjch2g1.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/nosozwjnqrvgxszcscge.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786272305/antariya/products/6a15f3ab52b87a00a922c0d9/hvsblfcfxnjwmphuoisi.png",new,no,Black,S,,IN,Unisex,,Solid,adult,,,,,,,,6a50112e4c2d17b7419b61af,,,
260100200303,Dodge Charger Half Sleeve T-Shirt – Black Black M,"Unleash classic American muscle with the Antariya Dodge Charger Half Sleeve T-Shirt. Crafted from 100% premium cotton, this tee delivers exceptional comfort, breathability, and durability for everyda…",out_of_stock,,,https://antariyaofficial.com/product/6a50112e4c2d17b7419b61af,,https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/i5zr0iatj9iw9akct7g6.jpg,999.00 INR,,,no,,,Antariya,,,"https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/yo6hz4sqreiaawejfon1.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/bozravtpzfwzxcjch2g1.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/nosozwjnqrvgxszcscge.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786272305/antariya/products/6a15f3ab52b87a00a922c0d9/hvsblfcfxnjwmphuoisi.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/yo6hz4sqreiaawejfon1.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/bozravtpzfwzxcjch2g1.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/nosozwjnqrvgxszcscge.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786272305/antariya/products/6a15f3ab52b87a00a922c0d9/hvsblfcfxnjwmphuoisi.png",new,no,Black,M,,IN,Unisex,,Solid,adult,,,,,,,,6a50112e4c2d17b7419b61af,,,
260100200304,Dodge Charger Half Sleeve T-Shirt – Black Black L,"Unleash classic American muscle with the Antariya Dodge Charger Half Sleeve T-Shirt. Crafted from 100% premium cotton, this tee delivers exceptional comfort, breathability, and durability for everyda…",in_stock,,,https://antariyaofficial.com/product/6a50112e4c2d17b7419b61af,,https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/i5zr0iatj9iw9akct7g6.jpg,999.00 INR,,,no,,,Antariya,,,"https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/yo6hz4sqreiaawejfon1.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/bozravtpzfwzxcjch2g1.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/nosozwjnqrvgxszcscge.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786272305/antariya/products/6a15f3ab52b87a00a922c0d9/hvsblfcfxnjwmphuoisi.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/yo6hz4sqreiaawejfon1.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/bozravtpzfwzxcjch2g1.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786076804/antariya/products/6a15f3ab52b87a00a922c0d9/nosozwjnqrvgxszcscge.jpg,https://res.cloudinary.com/doefhzx01/image/upload/v1786272305/antariya/products/6a15f3ab52b87a00a922c0d9/hvsblfcfxnjwmphuoisi.png",new,no,Black,L,,IN,Unisex,,Solid,adult,,,,,,,,6a50112e4c2d17b7419b61af,,,
260100400602,Antariya Premium Full Sleeve Slub Cotton T-Shirt for Men | Regular Fit | Drop Shoulder Light Green S,"Upgrade your everyday wardrobe with the Antariya Premium Full Sleeve Slub Cotton T-Shirt, designed for men who value comfort, quality, and timeless style. Crafted from 100% premium cotton with a refi…",in_stock,,,https://antariyaofficial.com/product/6a53e9f8e8f38cf1f43c3d56,,https://res.cloudinary.com/doefhzx01/image/upload/v1783884279/antariya/products/6a15f3ab52b87a00a922c0d9/blxq4grmb8vboqb2poqs.png,899.00 INR,,,no,,,Antariya,,,"https://res.cloudinary.com/doefhzx01/image/upload/v1783884278/antariya/products/6a15f3ab52b87a00a922c0d9/smpohbsw6plyjazlpgpd.png,https://res.cloudinary.com/doefhzx01/image/upload/v1783884278/antariya/products/6a15f3ab52b87a00a922c0d9/apqzcpz7v7mi3wzhn18r.png,https://res.cloudinary.com/doefhzx01/image/upload/v1783884278/antariya/products/6a15f3ab52b87a00a922c0d9/k5p1lthdp20rqalyuy0t.png,https://res.cloudinary.com/doefhzx01/image/upload/v1783884279/antariya/products/6a15f3ab52b87a00a922c0d9/pbbvdt16sscqh2quhtx2.png,https://res.cloudinary.com/doefhzx01/image/upload/v1783884278/antariya/products/6a15f3ab52b87a00a922c0d9/im8gmxqaphw5rpgcurnf.png,https://res.cloudinary.com/doefhzx01/image/upload/v1786272325/antariya/products/6a15f3ab52b87a00a922c0d9/heofatnuqhqdvk9ked5y.png,https://res.cloudinary.com/doefhzx01/image/upload/v1783884278/antariya/products/6a15f3ab52b87a00a922c0d9/smpohbsw6plyjazlpgpd.png,https://res.cloudinary.com/doefhzx01/image/upload/v1783884278/antariya/products/6a15f3ab52b87a00a922c0d9/apqzcpz7v7mi3wzhn18r.png,https://res.cloudinary.com/doefhzx01/image/upload/v1783884278/antariya/products/6a15f3ab52b87a00a922c0d9/k5p1lthdp20rqalyuy0t.png,https://res.cloudinary.com/doefhzx01/image/upload/v1783884279/antariya/products/6a15f3ab52b87a00a922c0d9/pbbvdt16sscqh2quhtx2.png",new,no,Light Green,S,,IN,Men,,Solid,adult,,,,,,,,6a53e9f8e8f38cf1f43c3d56,,,
